no	Annotation	Filename	Random Forest	kNN	AdaBoost
42	stop	nightTest/nightSequence1--03215.jpg	stop	stop	stop
43	stop	nightTest/nightSequence2--04174.jpg	stop	stop	stop
44	go	nightTest/nightSequence1--02526.jpg	go	go	go
45	warning	nightTest/nightSequence1--02739.jpg	warning	warning	warning
46	stop	nightTest/nightSequence1--03076.jpg	stop	stop	stop
47	go	nightTest/nightSequence1--03954.jpg	go	go	go
48	stop	nightTest/nightSequence1--03568.jpg	stop	stop	stop
49	go	dayTest/daySequence1--02965.jpg	go	go	go
50	stop	nightTest/nightSequence2--00361.jpg	stop	stop	stop
51	stop	nightTest/nightSequence1--03358.jpg	stop	stop	stop
52	stop	dayTest/daySequence2--06125.jpg	stop	stop	stop
53	stop	nightTest/nightSequence2--00027.jpg	stop	stop	stop
54	stopLeft	nightTest/nightSequence2--00886.jpg	stopLeft	stopLeft	stopLeft
55	go	nightTest/nightSequence1--02245.jpg	go	go	go
56	go	nightTest/nightSequence1--02547.jpg	go	go	go
57	stop	nightTest/nightSequence1--03201.jpg	stop	stop	stop
58	go	nightTest/nightSequence2--01322.jpg	go	go	go
59	stop	nightTest/nightSequence1--00800.jpg	stop	stop	stop
60	go	nightTest/nightSequence1--03403.jpg	go	go	go
61	stop	nightTest/nightSequence1--00272.jpg	stop	stop	stop
62	stop	nightTest/nightSequence1--00993.jpg	stop	stop	stop
63	stop	dayTest/daySequence2--05203.jpg	stop	stop	stop
64	stop	nightTest/nightSequence2--02241.jpg	stop	stop	stop
65	goLeft	dayTest/daySequence2--06315.jpg	goLeft	goLeft	goLeft
66	stop	nightTest/nightSequence2--00771.jpg	stop	stop	stop
67	stop	nightTest/nightSequence1--00672.jpg	stop	stop	stop
68	stopLeft	dayTest/daySequence2--05489.jpg	stopLeft	stopLeft	stopLeft
69	go	nightTest/nightSequence2--01391.jpg	go	go	go
70	stop	dayTest/daySequence1--00845.jpg	stop	stop	stop
71	go	nightTest/nightSequence1--00465.jpg	go	go	go
72	stop	dayTest/daySequence1--00774.jpg	stop	stop	stop
73	stop	nightTest/nightSequence2--05111.jpg	stop	stop	stop
74	stop	nightTest/nightSequence2--00543.jpg	stop	stop	stop
75	stop	nightTest/nightSequence2--00880.jpg	stop	stop	stop
76	stop	dayTest/daySequence2--05445.jpg	stop	stop	stop
77	go	nightTest/nightSequence1--02563.jpg	go	go	go
78	go	nightTest/nightSequence1--04684.jpg	go	go	go
79	go	nightTest/nightSequence1--04300.jpg	go	go	go
80	go	nightTest/nightSequence1--04668.jpg	go	go	go
81	stop	nightTest/nightSequence1--03151.jpg	stop	stop	stop
82	stop	dayTest/daySequence1--00874.jpg	stop	stop	stop
83	go	nightTest/nightSequence2--04196.jpg	go	go	go
84	go	nightTest/nightSequence2--05558.jpg	go	go	go
85	go	nightTest/nightSequence2--04026.jpg	go	go	go
86	go	dayTest/daySequence1--02661.jpg	go	go	go
87	go	nightTest/nightSequence2--03187.jpg	go	go	go
88	go	nightTest/nightSequence1--04394.jpg	go	go	go
89	stop	dayTest/daySequence1--02287.jpg	stop	stop	stop
90	stop	dayTest/daySequence2--05644.jpg	stop	stop	stop
91	warning	nightTest/nightSequence2--04723.jpg	warning	warning	warning
92	go	dayTest/daySequence1--02555.jpg	go	go	go
93	warning	nightTest/nightSequence1--02561.jpg	warning	warning	warning
94	go	nightTest/nightSequence2--02256.jpg	go	go	go
95	go	dayTest/daySequence1--02710.jpg	go	go	go
96	stop	nightTest/nightSequence2--04891.jpg	stop	stop	stop
97	go	nightTest/nightSequence2--04507.jpg	go	go	go
98	stop	dayTest/daySequence1--00866.jpg	stop	stop	stop
99	warning	dayTest/daySequence1--01888.jpg	warning	warning	warning
100	stop	dayTest/daySequence2--06421.jpg	stop	stop	stop
101	stop	nightTest/nightSequence1--01221.jpg	stop	stop	stop
102	stop	nightTest/nightSequence2--00855.jpg	stop	stop	stop
103	stopLeft	nightTest/nightSequence2--01282.jpg	stopLeft	stopLeft	stopLeft
104	go	dayTest/daySequence1--03858.jpg	go	go	go
105	go	nightTest/nightSequence1--00183.jpg	go	go	go
106	stop	nightTest/nightSequence1--01311.jpg	stop	stop	stop
107	stop	nightTest/nightSequence1--02901.jpg	stop	stop	stop
108	stop	nightTest/nightSequence2--04297.jpg	stop	stop	stop
109	go	nightTest/nightSequence2--05313.jpg	go	go	go
110	go	nightTest/nightSequence1--04180.jpg	go	go	go
111	stop	nightTest/nightSequence2--04229.jpg	stop	stop	stop
112	stop	dayTest/daySequence2--06374.jpg	stop	stop	stop
113	stop	dayTest/daySequence2--05142.jpg	stop	stop	stop
114	stopLeft	dayTest/daySequence2--05877.jpg	stopLeft	stopLeft	stopLeft
115	stopLeft	dayTest/daySequence2--04633.jpg	stopLeft	stopLeft	stopLeft
116	stop	dayTest/daySequence2--05707.jpg	stop	stop	stop
117	go	nightTest/nightSequence1--02474.jpg	go	go	go
118	stopLeft	dayTest/daySequence2--05710.jpg	stopLeft	stopLeft	stopLeft
119	go	nightTest/nightSequence2--04271.jpg	go	go	go
120	go	nightTest/nightSequence2--04234.jpg	go	go	go
121	go	nightTest/nightSequence2--05549.jpg	go	go	go
122	stop	dayTest/daySequence2--06177.jpg	stop	stop	stop
123	stop	dayTest/daySequence2--05877.jpg	stop	stop	stop
124	stop	dayTest/daySequence2--05570.jpg	stop	stop	stop
125	go	nightTest/nightSequence2--02894.jpg	go	go	go
126	stop	nightTest/nightSequence1--02812.jpg	stop	stop	stop
127	go	dayTest/daySequence1--03727.jpg	go	go	go
128	stop	nightTest/nightSequence2--03701.jpg	stop	stop	stop
129	stop	dayTest/daySequence1--02113.jpg	stop	stop	stop
130	stop	nightTest/nightSequence2--00559.jpg	stop	stop	stop
131	stopLeft	dayTest/daySequence2--05302.jpg	stopLeft	stopLeft	stopLeft
132	stop	dayTest/daySequence2--05406.jpg	stop	stop	stop
133	go	dayTest/daySequence1--03402.jpg	go	go	go
134	go	nightTest/nightSequence2--04326.jpg	go	go	go
135	stopLeft	dayTest/daySequence2--04934.jpg	stopLeft	stopLeft	stopLeft
136	go	nightTest/nightSequence2--03919.jpg	go	go	go
137	stop	nightTest/nightSequence2--00014.jpg	stop	stop	stop
138	go	dayTest/daySequence1--01340.jpg	go	go	go
139	stop	nightTest/nightSequence2--01657.jpg	stop	stop	stop
140	stop	nightTest/nightSequence1--01039.jpg	stop	stop	stop
141	go	dayTest/daySequence1--03339.jpg	go	go	go
142	go	nightTest/nightSequence1--02439.jpg	go	go	go
143	go	dayTest/daySequence2--06872.jpg	go	go	go
144	stop	nightTest/nightSequence1--03370.jpg	stop	stop	stop
145	go	nightTest/nightSequence2--02647.jpg	go	go	go
146	go	nightTest/nightSequence2--02850.jpg	go	go	go
147	go	dayTest/daySequence1--02149.jpg	go	go	go
148	stop	nightTest/nightSequence1--02859.jpg	stop	stop	stop
149	go	nightTest/nightSequence2--03890.jpg	go	go	go
150	stop	dayTest/daySequence1--00748.jpg	stop	stop	stop
151	go	dayTest/daySequence1--02637.jpg	go	go	go
152	stop	nightTest/nightSequence1--02826.jpg	stop	stop	stop
153	go	nightTest/nightSequence1--03845.jpg	go	go	go
154	go	dayTest/daySequence1--02153.jpg	go	go	go
155	stop	nightTest/nightSequence1--01459.jpg	stop	stop	stop
156	stop	dayTest/daySequence2--00978.jpg	stop	stop	stop
157	stop	nightTest/nightSequence1--01160.jpg	stop	stop	stop
158	stop	nightTest/nightSequence2--00552.jpg	stop	stop	stop
159	go	nightTest/nightSequence2--03843.jpg	go	go	go
160	go	nightTest/nightSequence2--04457.jpg	go	go	go
161	stop	nightTest/nightSequence2--01882.jpg	stop	stop	stop
162	go	nightTest/nightSequence1--03260.jpg	go	go	go
163	go	nightTest/nightSequence1--04764.jpg	go	go	go
164	stop	nightTest/nightSequence2--06521.jpg	stop	stopLeft	stop
165	go	nightTest/nightSequence1--02654.jpg	go	go	go
166	stop	nightTest/nightSequence1--01390.jpg	stop	stop	stop
167	stop	nightTest/nightSequence2--00447.jpg	stop	stop	stop
168	go	nightTest/nightSequence2--00613.jpg	go	go	go
169	go	nightTest/nightSequence1--01979.jpg	go	go	go
170	go	nightTest/nightSequence2--03174.jpg	go	go	go
171	stopLeft	dayTest/daySequence2--05839.jpg	stopLeft	stopLeft	stopLeft
172	stop	nightTest/nightSequence2--00502.jpg	stop	stop	stop
173	go	nightTest/nightSequence1--03257.jpg	go	go	go
174	go	nightTest/nightSequence2--04101.jpg	go	go	go
175	stop	nightTest/nightSequence2--00739.jpg	stop	stop	stop
176	stop	dayTest/daySequence2--05459.jpg	stop	stop	stop
177	go	nightTest/nightSequence2--04208.jpg	go	go	go
178	go	nightTest/nightSequence1--01754.jpg	go	go	go
179	go	dayTest/daySequence1--03967.jpg	go	go	go
180	stop	nightTest/nightSequence2--06465.jpg	stopLeft	stopLeft	stop
181	go	nightTest/nightSequence2--02704.jpg	go	go	go
182	stop	dayTest/daySequence2--05419.jpg	stop	stop	stop
183	stop	nightTest/nightSequence1--00743.jpg	stop	stop	stop
184	stopLeft	dayTest/daySequence2--06054.jpg	stopLeft	stopLeft	stopLeft
185	go	nightTest/nightSequence1--03733.jpg	go	go	go
186	stop	dayTest/daySequence1--00550.jpg	stop	stop	stop
187	stopLeft	dayTest/daySequence2--05455.jpg	stopLeft	stopLeft	stopLeft
188	stop	nightTest/nightSequence1--03050.jpg	stop	stop	stop
189	go	nightTest/nightSequence2--05377.jpg	go	go	go
190	go	nightTest/nightSequence1--04579.jpg	go	go	go
191	go	nightTest/nightSequence2--04296.jpg	go	go	go
192	go	nightTest/nightSequence1--00044.jpg	go	go	go
193	go	dayTest/daySequence1--01835.jpg	go	go	go
194	stop	nightTest/nightSequence2--00399.jpg	stop	stop	stop
195	stop	nightTest/nightSequence2--03553.jpg	stop	stop	stop
196	stop	nightTest/nightSequence1--02831.jpg	stop	stop	stop
197	go	dayTest/daySequence1--03810.jpg	go	go	go
198	go	nightTest/nightSequence1--02216.jpg	go	go	go
199	go	nightTest/nightSequence1--01926.jpg	go	go	go
200	stop	nightTest/nightSequence2--06134.jpg	stop	stop	stop
201	go	nightTest/nightSequence2--05420.jpg	go	go	go
202	stop	nightTest/nightSequence2--00115.jpg	stop	stop	stop
203	go	dayTest/daySequence1--03028.jpg	go	go	go
204	go	nightTest/nightSequence2--03051.jpg	go	go	go
205	go	nightTest/nightSequence2--03875.jpg	go	go	go
206	go	dayTest/daySequence1--03646.jpg	go	go	go
207	go	nightTest/nightSequence1--04410.jpg	go	go	go
208	stop	nightTest/nightSequence2--01857.jpg	stop	stop	stop
209	stop	nightTest/nightSequence2--02252.jpg	stop	stop	stop
210	stop	nightTest/nightSequence2--06350.jpg	stop	stop	stop
211	go	nightTest/nightSequence1--02624.jpg	go	go	go
212	go	nightTest/nightSequence2--04079.jpg	go	go	go
213	stop	nightTest/nightSequence1--00572.jpg	stop	stop	stop
214	stop	dayTest/daySequence1--02143.jpg	stop	stop	stop
215	stop	nightTest/nightSequence1--03304.jpg	stop	stop	stop
216	go	dayTest/daySequence2--01309.jpg	go	go	go
217	go	nightTest/nightSequence2--04345.jpg	go	go	go
218	go	nightTest/nightSequence2--04418.jpg	go	go	go
219	stop	nightTest/nightSequence2--06024.jpg	stop	stop	stop
220	go	dayTest/daySequence1--03239.jpg	go	go	go
221	stop	nightTest/nightSequence1--01409.jpg	stop	stop	stop
222	go	nightTest/nightSequence1--01755.jpg	go	go	go
223	stopLeft	dayTest/daySequence2--04939.jpg	stopLeft	stopLeft	stopLeft
224	stopLeft	dayTest/daySequence2--05350.jpg	stopLeft	stopLeft	stopLeft
225	stop	dayTest/daySequence2--05207.jpg	stop	stop	stop
226	go	nightTest/nightSequence1--02329.jpg	go	go	go
227	stop	nightTest/nightSequence2--00544.jpg	stop	stop	stop
228	stop	dayTest/daySequence2--06011.jpg	stop	stop	stop
229	go	nightTest/nightSequence2--04006.jpg	go	go	go
230	go	dayTest/daySequence1--02580.jpg	go	go	go
231	stopLeft	nightTest/nightSequence2--06515.jpg	stop	stopLeft	stop
232	stop	dayTest/daySequence1--00689.jpg	stop	stop	stop
233	go	nightTest/nightSequence1--04792.jpg	go	go	go
234	stop	nightTest/nightSequence2--05145.jpg	stop	stop	stop
235	go	nightTest/nightSequence2--02803.jpg	go	go	go
236	stop	nightTest/nightSequence1--02744.jpg	stop	stop	stop
237	go	nightTest/nightSequence2--05350.jpg	go	go	go
238	stopLeft	nightTest/nightSequence2--00852.jpg	stopLeft	stopLeft	stopLeft
239	stop	dayTest/daySequence2--00278.jpg	stop	stop	stop
240	go	nightTest/nightSequence2--04634.jpg	go	go	go
241	stop	nightTest/nightSequence2--06530.jpg	stopLeft	stop	stop
242	stopLeft	nightTest/nightSequence2--06430.jpg	stopLeft	stopLeft	stopLeft
243	stop	dayTest/daySequence2--06345.jpg	stop	stop	stop
244	go	nightTest/nightSequence2--04645.jpg	go	go	go
245	go	nightTest/nightSequence1--04572.jpg	go	go	go
246	stopLeft	nightTest/nightSequence2--01183.jpg	stopLeft	stopLeft	stopLeft
247	go	dayTest/daySequence1--02578.jpg	go	go	go
248	stop	nightTest/nightSequence2--01683.jpg	stop	stop	stop
249	stopLeft	nightTest/nightSequence2--01268.jpg	stopLeft	stopLeft	stopLeft
250	stop	dayTest/daySequence2--05457.jpg	stop	stop	stop
251	go	dayTest/daySequence2--05029.jpg	go	go	go
252	go	nightTest/nightSequence2--02129.jpg	go	go	go
253	go	dayTest/daySequence1--01851.jpg	go	go	go
254	stopLeft	nightTest/nightSequence2--04838.jpg	stopLeft	stopLeft	stopLeft
255	stop	dayTest/daySequence1--00882.jpg	stop	stop	stop
256	go	nightTest/nightSequence2--01262.jpg	go	go	go
257	stop	dayTest/daySequence1--01961.jpg	stop	stop	stop
258	stop	nightTest/nightSequence2--01674.jpg	stop	stop	stop
259	go	nightTest/nightSequence2--02413.jpg	go	go	go
260	stop	nightTest/nightSequence2--06484.jpg	stopLeft	stopLeft	stop
261	go	dayTest/daySequence1--01345.jpg	go	go	go
262	go	nightTest/nightSequence2--04531.jpg	go	go	go
263	go	dayTest/daySequence2--04770.jpg	go	go	go
264	stop	nightTest/nightSequence2--01591.jpg	stop	stop	stop
265	stopLeft	nightTest/nightSequence2--06460.jpg	stopLeft	stopLeft	stopLeft
266	stop	nightTest/nightSequence2--00016.jpg	stop	stop	stop
267	go	nightTest/nightSequence2--02874.jpg	go	go	go
268	stop	nightTest/nightSequence1--03065.jpg	stop	stop	stop
269	go	nightTest/nightSequence1--04305.jpg	go	go	go
270	stopLeft	nightTest/nightSequence2--01194.jpg	stopLeft	stopLeft	stopLeft
271	go	nightTest/nightSequence1--02283.jpg	go	go	go
272	go	nightTest/nightSequence1--04695.jpg	go	go	go
273	go	nightTest/nightSequence1--02301.jpg	go	go	go
274	stop	dayTest/daySequence2--00933.jpg	stop	stop	stop
275	go	nightTest/nightSequence2--04202.jpg	go	go	go
276	stopLeft	nightTest/nightSequence2--04639.jpg	stopLeft	stopLeft	stopLeft
277	go	dayTest/daySequence1--02923.jpg	go	go	go
278	stop	nightTest/nightSequence1--01313.jpg	stop	stop	stop
279	go	nightTest/nightSequence2--05330.jpg	go	go	go
280	stop	nightTest/nightSequence1--03022.jpg	stop	stop	stop
281	stop	nightTest/nightSequence2--00013.jpg	stop	stop	stop
282	stopLeft	nightTest/nightSequence2--04631.jpg	stopLeft	stopLeft	stopLeft
283	stop	nightTest/nightSequence2--03631.jpg	stop	stop	stop
284	stopLeft	dayTest/daySequence2--06053.jpg	stopLeft	stopLeft	stopLeft
285	go	dayTest/daySequence1--03932.jpg	go	go	go
286	go	nightTest/nightSequence2--02447.jpg	go	go	go
287	go	nightTest/nightSequence1--01684.jpg	go	go	go
288	stop	dayTest/daySequence2--00828.jpg	stop	stop	stop
289	go	dayTest/daySequence1--02384.jpg	go	go	go
290	stop	nightTest/nightSequence1--02766.jpg	stop	stop	stop
291	go	nightTest/nightSequence2--05507.jpg	go	go	go
292	go	nightTest/nightSequence2--05480.jpg	go	go	go
293	stop	nightTest/nightSequence2--04137.jpg	stop	stop	stop
294	go	nightTest/nightSequence1--02214.jpg	go	go	go
295	stop	nightTest/nightSequence2--00758.jpg	stop	stop	stop
296	go	nightTest/nightSequence2--01330.jpg	go	go	go
297	stopLeft	dayTest/daySequence2--06169.jpg	stopLeft	stopLeft	stopLeft
298	stop	dayTest/daySequence1--00650.jpg	stop	stop	stop
299	stop	nightTest/nightSequence2--00313.jpg	stop	stop	stop
300	go	nightTest/nightSequence1--02341.jpg	go	go	go
301	go	dayTest/daySequence1--03903.jpg	go	go	go
302	stop	nightTest/nightSequence2--00232.jpg	stop	stop	stop
303	go	nightTest/nightSequence2--04485.jpg	go	go	go
304	stop	dayTest/daySequence2--05674.jpg	stop	stop	stop
305	go	nightTest/nightSequence2--03212.jpg	go	go	go
306	stop	nightTest/nightSequence1--00040.jpg	stop	stop	stop
307	stopLeft	nightTest/nightSequence1--03649.jpg	stopLeft	stopLeft	stopLeft
308	go	nightTest/nightSequence2--01128.jpg	go	go	go
309	stop	nightTest/nightSequence1--00112.jpg	stop	stop	stop
310	stop	nightTest/nightSequence2--01557.jpg	stop	stop	stop
311	go	nightTest/nightSequence2--03241.jpg	go	go	go
312	stop	dayTest/daySequence2--05732.jpg	stop	stop	stop
313	go	nightTest/nightSequence2--04025.jpg	go	go	go
314	stopLeft	nightTest/nightSequence2--05005.jpg	stopLeft	stopLeft	stopLeft
315	stop	nightTest/nightSequence2--04982.jpg	stop	stop	stop
316	stopLeft	nightTest/nightSequence1--03540.jpg	stopLeft	stopLeft	stopLeft
317	stop	nightTest/nightSequence2--03667.jpg	stop	stop	stop
318	stop	nightTest/nightSequence2--00329.jpg	stop	stop	stop
319	go	dayTest/daySequence1--02731.jpg	go	go	go
320	stop	nightTest/nightSequence1--00679.jpg	stop	stop	stop
321	stopLeft	nightTest/nightSequence2--04674.jpg	stopLeft	stopLeft	stopLeft
322	stop	dayTest/daySequence1--03550.jpg	stop	stop	stop
323	stop	dayTest/daySequence1--03574.jpg	stop	stop	stop
324	go	nightTest/nightSequence1--01725.jpg	go	go	go
325	stop	dayTest/daySequence2--00165.jpg	stop	stop	stop
326	go	dayTest/daySequence1--01178.jpg	go	go	go
327	go	nightTest/nightSequence2--05567.jpg	go	go	go
328	go	nightTest/nightSequence1--01803.jpg	go	go	go
329	stop	nightTest/nightSequence2--06432.jpg	stop	stop	stop
330	go	nightTest/nightSequence2--04218.jpg	go	go	go
331	stop	nightTest/nightSequence1--01465.jpg	stop	stop	stop
332	stop	nightTest/nightSequence2--04169.jpg	stop	stop	stop
333	stop	nightTest/nightSequence1--00005.jpg	stop	stop	stop
334	go	dayTest/daySequence1--01257.jpg	go	go	go
335	go	nightTest/nightSequence1--02671.jpg	go	go	go
336	stopLeft	dayTest/daySequence2--04615.jpg	stopLeft	stopLeft	stopLeft
337	stop	nightTest/nightSequence2--01602.jpg	stop	stop	stop
338	go	dayTest/daySequence1--01154.jpg	go	go	go
339	go	nightTest/nightSequence2--01258.jpg	go	go	go
340	go	nightTest/nightSequence2--04448.jpg	go	go	go
341	go	dayTest/daySequence1--03886.jpg	go	go	go
342	stop	dayTest/daySequence2--05675.jpg	stop	stop	stop
343	stop	nightTest/nightSequence1--00643.jpg	stop	stop	stop
344	go	dayTest/daySequence2--01318.jpg	go	go	go
345	goLeft	nightTest/nightSequence1--03866.jpg	goLeft	goLeft	goLeft
346	go	dayTest/daySequence1--02126.jpg	go	go	go
347	stopLeft	dayTest/daySequence2--05363.jpg	stopLeft	stopLeft	stopLeft
348	go	nightTest/nightSequence2--04261.jpg	go	go	go
349	go	nightTest/nightSequence1--02426.jpg	go	go	go
350	go	nightTest/nightSequence2--03275.jpg	go	go	go
351	stopLeft	dayTest/daySequence2--06187.jpg	stopLeft	stopLeft	stopLeft
352	go	nightTest/nightSequence2--06508.jpg	go	go	go
353	go	nightTest/nightSequence2--02888.jpg	go	go	go
354	go	nightTest/nightSequence1--02457.jpg	go	go	go
355	stop	nightTest/nightSequence2--01659.jpg	stop	stop	stop
356	go	nightTest/nightSequence1--04411.jpg	go	go	go
357	stop	nightTest/nightSequence2--01776.jpg	stop	stop	stop
358	stop	nightTest/nightSequence2--02152.jpg	stop	stop	stop
359	stop	nightTest/nightSequence2--01724.jpg	stop	stop	stop
360	go	nightTest/nightSequence2--01813.jpg	go	go	go
361	goForward	dayTest/daySequence2--03039.jpg	goForward	go	goForward
362	stop	nightTest/nightSequence1--03287.jpg	stop	stop	stop
363	stop	nightTest/nightSequence1--02772.jpg	stop	stop	stop
364	stop	nightTest/nightSequence2--00770.jpg	stop	stop	stop
365	go	dayTest/daySequence1--02729.jpg	go	go	go
366	stop	nightTest/nightSequence1--03219.jpg	stop	stop	stop
367	stop	nightTest/nightSequence1--00247.jpg	stop	stop	stop
368	stop	nightTest/nightSequence1--01182.jpg	stop	stop	stop
369	go	nightTest/nightSequence2--05506.jpg	go	go	go
370	go	nightTest/nightSequence1--04198.jpg	go	go	go
371	go	nightTest/nightSequence2--00599.jpg	go	go	go
372	go	nightTest/nightSequence2--03143.jpg	go	go	go
373	stop	nightTest/nightSequence1--01359.jpg	stop	stop	stop
374	go	nightTest/nightSequence1--02212.jpg	go	go	go
375	stop	nightTest/nightSequence2--02204.jpg	stop	stop	stop
376	go	nightTest/nightSequence1--00008.jpg	go	go	go
377	stop	dayTest/daySequence2--05868.jpg	stop	stop	stop
378	stop	nightTest/nightSequence2--00419.jpg	stop	stop	stop
379	stop	nightTest/nightSequence1--03274.jpg	stop	stop	stop
380	go	nightTest/nightSequence1--01697.jpg	go	go	go
381	go	dayTest/daySequence1--02817.jpg	go	go	go
382	warning	dayTest/daySequence1--01921.jpg	warning	warning	warning
383	go	nightTest/nightSequence1--02511.jpg	go	go	go
384	stop	nightTest/nightSequence1--02790.jpg	stop	stop	stop
385	go	nightTest/nightSequence1--02400.jpg	go	go	go
386	stop	dayTest/daySequence2--05533.jpg	stop	stop	stop
387	go	nightTest/nightSequence2--05385.jpg	go	go	go
388	go	nightTest/nightSequence2--02909.jpg	go	go	go
389	go	nightTest/nightSequence2--03119.jpg	go	go	go
390	stop	dayTest/daySequence1--02025.jpg	stop	stop	stop
391	stop	nightTest/nightSequence2--03330.jpg	stop	stop	stop
392	go	dayTest/daySequence1--01197.jpg	go	go	go
393	stop	nightTest/nightSequence1--03078.jpg	stop	stop	stop
394	stop	dayTest/daySequence2--06108.jpg	stop	stop	stop
395	stop	dayTest/daySequence2--05261.jpg	stop	stop	stop
396	go	nightTest/nightSequence1--03513.jpg	go	go	go
397	go	dayTest/daySequence1--02695.jpg	go	go	go
398	go	nightTest/nightSequence2--04267.jpg	go	go	go
399	stop	nightTest/nightSequence2--00361.jpg	stop	stop	stop
400	go	nightTest/nightSequence2--03183.jpg	go	go	go
401	go	nightTest/nightSequence2--03155.jpg	go	go	go
402	goLeft	dayTest/daySequence2--06410.jpg	goLeft	goLeft	goLeft
403	go	nightTest/nightSequence1--02530.jpg	go	go	go
404	stop	dayTest/daySequence2--03910.jpg	stop	stop	stop
405	stop	dayTest/daySequence2--03899.jpg	stop	stop	stop
406	stop	nightTest/nightSequence1--02910.jpg	stop	stop	stop
407	go	dayTest/daySequence1--01110.jpg	go	go	go
408	go	nightTest/nightSequence2--04572.jpg	go	go	go
409	go	nightTest/nightSequence2--04084.jpg	go	go	go
410	stop	nightTest/nightSequence1--02743.jpg	stop	stop	stop
411	goForward	dayTest/daySequence2--02984.jpg	goForward	goForward	goForward
412	go	dayTest/daySequence1--02815.jpg	go	go	go
413	go	nightTest/nightSequence1--03724.jpg	go	go	go
414	go	dayTest/daySequence2--01191.jpg	go	go	go
415	go	nightTest/nightSequence1--03990.jpg	go	go	go
416	go	dayTest/daySequence2--04978.jpg	go	go	go
417	go	nightTest/nightSequence2--02158.jpg	go	go	go
418	stopLeft	dayTest/daySequence2--05851.jpg	stopLeft	stopLeft	stopLeft
419	go	nightTest/nightSequence1--03721.jpg	go	go	go
420	go	nightTest/nightSequence2--02646.jpg	go	go	go
421	stopLeft	nightTest/nightSequence2--06457.jpg	stopLeft	stopLeft	stopLeft
422	stopLeft	nightTest/nightSequence2--01336.jpg	stopLeft	stopLeft	stopLeft
423	go	dayTest/daySequence1--03637.jpg	go	go	go
424	go	nightTest/nightSequence2--05461.jpg	go	go	go
425	stop	nightTest/nightSequence1--03031.jpg	stop	stop	stop
426	stop	dayTest/daySequence1--03611.jpg	stop	stop	stop
427	stop	nightTest/nightSequence2--00285.jpg	stop	stop	stop
428	go	nightTest/nightSequence2--01118.jpg	go	go	go
429	goLeft	dayTest/daySequence2--06418.jpg	goLeft	goLeft	goLeft
430	stop	nightTest/nightSequence1--01419.jpg	stop	stop	stop
431	stop	nightTest/nightSequence2--06346.jpg	stop	stop	stop
432	go	nightTest/nightSequence2--02382.jpg	go	go	go
433	go	dayTest/daySequence1--03271.jpg	go	go	go
434	stop	nightTest/nightSequence1--02901.jpg	stop	stop	stop
435	stopLeft	nightTest/nightSequence2--04918.jpg	stopLeft	stopLeft	stopLeft
