day,No,Annotation,Filename,RandomForest,kNN,AdaBoost,tAnnotation,tRandomForest,tkNN,tAdaBoost,RF,KNN,AB
3,29,stop,dayTest/daySequence2--00345.jpg,stop,stop,stop,1,1,1,1,,,
3,30,stop,dayTest/daySequence2--05496.jpg,stop,stop,stop,1,1,1,1,,,
2,31,stop,nightTest/nightSequence1--02920.jpg,stop,stop,stop,1,1,1,1,,,
1,32,go,dayTest/daySequence1--03851.jpg,go,go,go,1,1,1,1,,,
4,33,go,nightTest/nightSequence2--05635.jpg,go,go,go,1,1,1,1,,,
2,34,go,nightTest/nightSequence1--02658.jpg,go,go,go,1,1,1,1,,,
4,35,go,nightTest/nightSequence2--04496.jpg,go,go,go,1,1,1,1,,,
2,36,go,nightTest/nightSequence1--02649.jpg,go,go,go,1,1,1,1,,,
4,37,go,nightTest/nightSequence2--04480.jpg,go,go,go,1,1,1,1,,,
1,38,go,dayTest/daySequence1--02492.jpg,go,go,go,1,1,1,1,,,
4,39,go,nightTest/nightSequence2--03176.jpg,go,go,go,1,1,1,1,,,
2,40,go,nightTest/nightSequence1--02315.jpg,go,go,go,1,1,1,1,,,
4,41,go,nightTest/nightSequence2--04303.jpg,go,go,go,1,1,1,1,,,
2,42,stop,nightTest/nightSequence1--03215.jpg,stop,stop,stop,1,1,1,1,,,
4,43,stop,nightTest/nightSequence2--04174.jpg,stop,stop,stop,1,1,1,1,,,
2,44,go,nightTest/nightSequence1--02526.jpg,go,go,go,1,1,1,1,,,
2,45,warning,nightTest/nightSequence1--02739.jpg,warning,warning,warning,1,1,1,1,,,
2,46,stop,nightTest/nightSequence1--03076.jpg,stop,stop,stop,1,1,1,1,,,
2,47,go,nightTest/nightSequence1--03954.jpg,go,go,go,1,1,1,1,,,
2,48,stop,nightTest/nightSequence1--03568.jpg,stop,stop,stop,1,1,1,1,,,
1,49,go,dayTest/daySequence1--02965.jpg,go,go,go,1,1,1,1,,,
4,50,stop,nightTest/nightSequence2--00361.jpg,stop,stop,stop,1,1,1,1,,,
2,51,stop,nightTest/nightSequence1--03358.jpg,stop,stop,stop,1,1,1,1,,,
3,52,stop,dayTest/daySequence2--06125.jpg,stop,stop,stop,1,1,1,1,,,
4,53,stop,nightTest/nightSequence2--00027.jpg,stop,stop,stop,1,1,1,1,,,
4,54,stopLeft,nightTest/nightSequence2--00886.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
2,55,go,nightTest/nightSequence1--02245.jpg,go,go,go,1,1,1,1,,,
2,56,go,nightTest/nightSequence1--02547.jpg,go,go,go,1,1,1,1,,,
2,57,stop,nightTest/nightSequence1--03201.jpg,stop,stop,stop,1,1,1,1,,,
4,58,go,nightTest/nightSequence2--01322.jpg,go,go,go,1,1,1,1,,,
2,59,stop,nightTest/nightSequence1--00800.jpg,stop,stop,stop,1,1,1,1,,,
2,60,go,nightTest/nightSequence1--03403.jpg,go,go,go,1,1,1,1,,,
2,61,stop,nightTest/nightSequence1--00272.jpg,stop,stop,stop,1,1,1,1,,,
2,62,stop,nightTest/nightSequence1--00993.jpg,stop,stop,stop,1,1,1,1,,,
3,63,stop,dayTest/daySequence2--05203.jpg,stop,stop,stop,1,1,1,1,,,
4,64,stop,nightTest/nightSequence2--02241.jpg,stop,stop,stop,1,1,1,1,,,
3,65,goLeft,dayTest/daySequence2--06315.jpg,goLeft,goLeft,goLeft,1,1,1,1,,,
4,66,stop,nightTest/nightSequence2--00771.jpg,stop,stop,stop,1,1,1,1,,,
2,67,stop,nightTest/nightSequence1--00672.jpg,stop,stop,stop,1,1,1,1,,,
3,68,stopLeft,dayTest/daySequence2--05489.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,69,go,nightTest/nightSequence2--01391.jpg,go,go,go,1,1,1,1,,,
1,70,stop,dayTest/daySequence1--00845.jpg,stop,stop,stop,1,1,1,1,,,
2,71,go,nightTest/nightSequence1--00465.jpg,go,go,go,1,1,1,1,,,
1,72,stop,dayTest/daySequence1--00774.jpg,stop,stop,stop,1,1,1,1,,,
4,73,stop,nightTest/nightSequence2--05111.jpg,stop,stop,stop,1,1,1,1,,,
4,74,stop,nightTest/nightSequence2--00543.jpg,stop,stop,stop,1,1,1,1,,,
4,75,stop,nightTest/nightSequence2--00880.jpg,stop,stop,stop,1,1,1,1,,,
3,76,stop,dayTest/daySequence2--05445.jpg,stop,stop,stop,1,1,1,1,,,
2,77,go,nightTest/nightSequence1--02563.jpg,go,go,go,1,1,1,1,,,
2,78,go,nightTest/nightSequence1--04684.jpg,go,go,go,1,1,1,1,,,
2,79,go,nightTest/nightSequence1--04300.jpg,go,go,go,1,1,1,1,,,
2,80,go,nightTest/nightSequence1--04668.jpg,go,go,go,1,1,1,1,,,
2,81,stop,nightTest/nightSequence1--03151.jpg,stop,stop,stop,1,1,1,1,,,
1,82,stop,dayTest/daySequence1--00874.jpg,stop,stop,stop,1,1,1,1,,,
4,83,go,nightTest/nightSequence2--04196.jpg,go,go,go,1,1,1,1,,,
4,84,go,nightTest/nightSequence2--05558.jpg,go,go,go,1,1,1,1,,,
4,85,go,nightTest/nightSequence2--04026.jpg,go,go,go,1,1,1,1,,,
1,86,go,dayTest/daySequence1--02661.jpg,go,go,go,1,1,1,1,,,
4,87,go,nightTest/nightSequence2--03187.jpg,go,go,go,1,1,1,1,,,
2,88,go,nightTest/nightSequence1--04394.jpg,go,go,go,1,1,1,1,,,
1,89,stop,dayTest/daySequence1--02287.jpg,stop,stop,stop,1,1,1,1,,,
3,90,stop,dayTest/daySequence2--05644.jpg,stop,stop,stop,1,1,1,1,,,
4,91,warning,nightTest/nightSequence2--04723.jpg,warning,warning,warning,1,1,1,1,,,
1,92,go,dayTest/daySequence1--02555.jpg,go,go,go,1,1,1,1,,,
2,93,warning,nightTest/nightSequence1--02561.jpg,warning,warning,warning,1,1,1,1,,,
4,94,go,nightTest/nightSequence2--02256.jpg,go,go,go,1,1,1,1,,,
1,95,go,dayTest/daySequence1--02710.jpg,go,go,go,1,1,1,1,,,
4,96,stop,nightTest/nightSequence2--04891.jpg,stop,stop,stop,1,1,1,1,,,
4,97,go,nightTest/nightSequence2--04507.jpg,go,go,go,1,1,1,1,,,
1,98,stop,dayTest/daySequence1--00866.jpg,stop,stop,stop,1,1,1,1,,,
1,99,warning,dayTest/daySequence1--01888.jpg,warning,warning,warning,1,1,1,1,,,
3,100,stop,dayTest/daySequence2--06421.jpg,stop,stop,stop,1,1,1,1,,,
2,101,stop,nightTest/nightSequence1--01221.jpg,stop,stop,stop,1,1,1,1,,,
4,102,stop,nightTest/nightSequence2--00855.jpg,stop,stop,stop,1,1,1,1,,,
4,103,stopLeft,nightTest/nightSequence2--01282.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,104,go,dayTest/daySequence1--03858.jpg,go,go,go,1,1,1,1,,,
2,105,go,nightTest/nightSequence1--00183.jpg,go,go,go,1,1,1,1,,,
2,106,stop,nightTest/nightSequence1--01311.jpg,stop,stop,stop,1,1,1,1,,,
2,107,stop,nightTest/nightSequence1--02901.jpg,stop,stop,stop,1,1,1,1,,,
4,108,stop,nightTest/nightSequence2--04297.jpg,stop,stop,stop,1,1,1,1,,,
4,109,go,nightTest/nightSequence2--05313.jpg,go,go,go,1,1,1,1,,,
2,110,go,nightTest/nightSequence1--04180.jpg,go,go,go,1,1,1,1,,,
4,111,stop,nightTest/nightSequence2--04229.jpg,stop,stop,stop,1,1,1,1,,,
3,112,stop,dayTest/daySequence2--06374.jpg,stop,stop,stop,1,1,1,1,,,
3,113,stop,dayTest/daySequence2--05142.jpg,stop,stop,stop,1,1,1,1,,,
3,114,stopLeft,dayTest/daySequence2--05877.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,115,stopLeft,dayTest/daySequence2--04633.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,116,stop,dayTest/daySequence2--05707.jpg,stop,stop,stop,1,1,1,1,,,
2,117,go,nightTest/nightSequence1--02474.jpg,go,go,go,1,1,1,1,,,
3,118,stopLeft,dayTest/daySequence2--05710.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,119,go,nightTest/nightSequence2--04271.jpg,go,go,go,1,1,1,1,,,
4,120,go,nightTest/nightSequence2--04234.jpg,go,go,go,1,1,1,1,,,
4,121,go,nightTest/nightSequence2--05549.jpg,go,go,go,1,1,1,1,,,
3,122,stop,dayTest/daySequence2--06177.jpg,stop,stop,stop,1,1,1,1,,,
3,123,stop,dayTest/daySequence2--05877.jpg,stop,stop,stop,1,1,1,1,,,
3,124,stop,dayTest/daySequence2--05570.jpg,stop,stop,stop,1,1,1,1,,,
4,125,go,nightTest/nightSequence2--02894.jpg,go,go,go,1,1,1,1,,,
2,126,stop,nightTest/nightSequence1--02812.jpg,stop,stop,stop,1,1,1,1,,,
1,127,go,dayTest/daySequence1--03727.jpg,go,go,go,1,1,1,1,,,
4,128,stop,nightTest/nightSequence2--03701.jpg,stop,stop,stop,1,1,1,1,,,
1,129,stop,dayTest/daySequence1--02113.jpg,stop,stop,stop,1,1,1,1,,,
4,130,stop,nightTest/nightSequence2--00559.jpg,stop,stop,stop,1,1,1,1,,,
3,131,stopLeft,dayTest/daySequence2--05302.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,132,stop,dayTest/daySequence2--05406.jpg,stop,stop,stop,1,1,1,1,,,
1,133,go,dayTest/daySequence1--03402.jpg,go,go,go,1,1,1,1,,,
4,134,go,nightTest/nightSequence2--04326.jpg,go,go,go,1,1,1,1,,,
3,135,stopLeft,dayTest/daySequence2--04934.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,136,go,nightTest/nightSequence2--03919.jpg,go,go,go,1,1,1,1,,,
4,137,stop,nightTest/nightSequence2--00014.jpg,stop,stop,stop,1,1,1,1,,,
1,138,go,dayTest/daySequence1--01340.jpg,go,go,go,1,1,1,1,,,
4,139,stop,nightTest/nightSequence2--01657.jpg,stop,stop,stop,1,1,1,1,,,
2,140,stop,nightTest/nightSequence1--01039.jpg,stop,stop,stop,1,1,1,1,,,
1,141,go,dayTest/daySequence1--03339.jpg,go,go,go,1,1,1,1,,,
2,142,go,nightTest/nightSequence1--02439.jpg,go,go,go,1,1,1,1,,,
3,143,go,dayTest/daySequence2--06872.jpg,go,go,go,1,1,1,1,,,
2,144,stop,nightTest/nightSequence1--03370.jpg,stop,stop,stop,1,1,1,1,,,
4,145,go,nightTest/nightSequence2--02647.jpg,go,go,go,1,1,1,1,,,
4,146,go,nightTest/nightSequence2--02850.jpg,go,go,go,1,1,1,1,,,
1,147,go,dayTest/daySequence1--02149.jpg,go,go,go,1,1,1,1,,,
2,148,stop,nightTest/nightSequence1--02859.jpg,stop,stop,stop,1,1,1,1,,,
4,149,go,nightTest/nightSequence2--03890.jpg,go,go,go,1,1,1,1,,,
1,150,stop,dayTest/daySequence1--00748.jpg,stop,stop,stop,1,1,1,1,,,
1,151,go,dayTest/daySequence1--02637.jpg,go,go,go,1,1,1,1,,,
2,152,stop,nightTest/nightSequence1--02826.jpg,stop,stop,stop,1,1,1,1,,,
2,153,go,nightTest/nightSequence1--03845.jpg,go,go,go,1,1,1,1,,,
1,154,go,dayTest/daySequence1--02153.jpg,go,go,go,1,1,1,1,,,
2,155,stop,nightTest/nightSequence1--01459.jpg,stop,stop,stop,1,1,1,1,,,
3,156,stop,dayTest/daySequence2--00978.jpg,stop,stop,stop,1,1,1,1,,,
2,157,stop,nightTest/nightSequence1--01160.jpg,stop,stop,stop,1,1,1,1,,,
4,158,stop,nightTest/nightSequence2--00552.jpg,stop,stop,stop,1,1,1,1,,,
4,159,go,nightTest/nightSequence2--03843.jpg,go,go,go,1,1,1,1,,,
4,160,go,nightTest/nightSequence2--04457.jpg,go,go,go,1,1,1,1,,,
4,161,stop,nightTest/nightSequence2--01882.jpg,stop,stop,stop,1,1,1,1,,,
2,162,go,nightTest/nightSequence1--03260.jpg,go,go,go,1,1,1,1,,,
2,163,go,nightTest/nightSequence1--04764.jpg,go,go,go,1,1,1,1,,,
4,164,stop,nightTest/nightSequence2--06521.jpg,stop,stopLeft,stop,1,1,0,1,,,
2,165,go,nightTest/nightSequence1--02654.jpg,go,go,go,1,1,1,1,,,
2,166,stop,nightTest/nightSequence1--01390.jpg,stop,stop,stop,1,1,1,1,,,
4,167,stop,nightTest/nightSequence2--00447.jpg,stop,stop,stop,1,1,1,1,,,
4,168,go,nightTest/nightSequence2--00613.jpg,go,go,go,1,1,1,1,,,
2,169,go,nightTest/nightSequence1--01979.jpg,go,go,go,1,1,1,1,,,
4,170,go,nightTest/nightSequence2--03174.jpg,go,go,go,1,1,1,1,,,
3,171,stopLeft,dayTest/daySequence2--05839.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,172,stop,nightTest/nightSequence2--00502.jpg,stop,stop,stop,1,1,1,1,,,
2,173,go,nightTest/nightSequence1--03257.jpg,go,go,go,1,1,1,1,,,
4,174,go,nightTest/nightSequence2--04101.jpg,go,go,go,1,1,1,1,,,
4,175,stop,nightTest/nightSequence2--00739.jpg,stop,stop,stop,1,1,1,1,,,
3,176,stop,dayTest/daySequence2--05459.jpg,stop,stop,stop,1,1,1,1,,,
4,177,go,nightTest/nightSequence2--04208.jpg,go,go,go,1,1,1,1,,,
2,178,go,nightTest/nightSequence1--01754.jpg,go,go,go,1,1,1,1,,,
1,179,go,dayTest/daySequence1--03967.jpg,go,go,go,1,1,1,1,,,
4,180,stop,nightTest/nightSequence2--06465.jpg,stopLeft,stopLeft,stop,1,0,0,1,,,
4,181,go,nightTest/nightSequence2--02704.jpg,go,go,go,1,1,1,1,,,
3,182,stop,dayTest/daySequence2--05419.jpg,stop,stop,stop,1,1,1,1,,,
2,183,stop,nightTest/nightSequence1--00743.jpg,stop,stop,stop,1,1,1,1,,,
3,184,stopLeft,dayTest/daySequence2--06054.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
2,185,go,nightTest/nightSequence1--03733.jpg,go,go,go,1,1,1,1,,,
1,186,stop,dayTest/daySequence1--00550.jpg,stop,stop,stop,1,1,1,1,,,
3,187,stopLeft,dayTest/daySequence2--05455.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
2,188,stop,nightTest/nightSequence1--03050.jpg,stop,stop,stop,1,1,1,1,,,
4,189,go,nightTest/nightSequence2--05377.jpg,go,go,go,1,1,1,1,,,
2,190,go,nightTest/nightSequence1--04579.jpg,go,go,go,1,1,1,1,,,
4,191,go,nightTest/nightSequence2--04296.jpg,go,go,go,1,1,1,1,,,
2,192,go,nightTest/nightSequence1--00044.jpg,go,go,go,1,1,1,1,,,
1,193,go,dayTest/daySequence1--01835.jpg,go,go,go,1,1,1,1,,,
4,194,stop,nightTest/nightSequence2--00399.jpg,stop,stop,stop,1,1,1,1,,,
4,195,stop,nightTest/nightSequence2--03553.jpg,stop,stop,stop,1,1,1,1,,,
2,196,stop,nightTest/nightSequence1--02831.jpg,stop,stop,stop,1,1,1,1,,,
1,197,go,dayTest/daySequence1--03810.jpg,go,go,go,1,1,1,1,,,
2,198,go,nightTest/nightSequence1--02216.jpg,go,go,go,1,1,1,1,,,
2,199,go,nightTest/nightSequence1--01926.jpg,go,go,go,1,1,1,1,,,
4,200,stop,nightTest/nightSequence2--06134.jpg,stop,stop,stop,1,1,1,1,,,
4,201,go,nightTest/nightSequence2--05420.jpg,go,go,go,1,1,1,1,,,
4,202,stop,nightTest/nightSequence2--00115.jpg,stop,stop,stop,1,1,1,1,,,
1,203,go,dayTest/daySequence1--03028.jpg,go,go,go,1,1,1,1,,,
4,204,go,nightTest/nightSequence2--03051.jpg,go,go,go,1,1,1,1,,,
4,205,go,nightTest/nightSequence2--03875.jpg,go,go,go,1,1,1,1,,,
1,206,go,dayTest/daySequence1--03646.jpg,go,go,go,1,1,1,1,,,
2,207,go,nightTest/nightSequence1--04410.jpg,go,go,go,1,1,1,1,,,
4,208,stop,nightTest/nightSequence2--01857.jpg,stop,stop,stop,1,1,1,1,,,
4,209,stop,nightTest/nightSequence2--02252.jpg,stop,stop,stop,1,1,1,1,,,
4,210,stop,nightTest/nightSequence2--06350.jpg,stop,stop,stop,1,1,1,1,,,
2,211,go,nightTest/nightSequence1--02624.jpg,go,go,go,1,1,1,1,,,
4,212,go,nightTest/nightSequence2--04079.jpg,go,go,go,1,1,1,1,,,
2,213,stop,nightTest/nightSequence1--00572.jpg,stop,stop,stop,1,1,1,1,,,
1,214,stop,dayTest/daySequence1--02143.jpg,stop,stop,stop,1,1,1,1,,,
2,215,stop,nightTest/nightSequence1--03304.jpg,stop,stop,stop,1,1,1,1,,,
3,216,go,dayTest/daySequence2--01309.jpg,go,go,go,1,1,1,1,,,
4,217,go,nightTest/nightSequence2--04345.jpg,go,go,go,1,1,1,1,,,
4,218,go,nightTest/nightSequence2--04418.jpg,go,go,go,1,1,1,1,,,
4,219,stop,nightTest/nightSequence2--06024.jpg,stop,stop,stop,1,1,1,1,,,
1,220,go,dayTest/daySequence1--03239.jpg,go,go,go,1,1,1,1,,,
2,221,stop,nightTest/nightSequence1--01409.jpg,stop,stop,stop,1,1,1,1,,,
2,222,go,nightTest/nightSequence1--01755.jpg,go,go,go,1,1,1,1,,,
3,223,stopLeft,dayTest/daySequence2--04939.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,224,stopLeft,dayTest/daySequence2--05350.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,225,stop,dayTest/daySequence2--05207.jpg,stop,stop,stop,1,1,1,1,,,
2,226,go,nightTest/nightSequence1--02329.jpg,go,go,go,1,1,1,1,,,
4,227,stop,nightTest/nightSequence2--00544.jpg,stop,stop,stop,1,1,1,1,,,
3,228,stop,dayTest/daySequence2--06011.jpg,stop,stop,stop,1,1,1,1,,,
4,229,go,nightTest/nightSequence2--04006.jpg,go,go,go,1,1,1,1,,,
1,230,go,dayTest/daySequence1--02580.jpg,go,go,go,1,1,1,1,,,
4,231,stopLeft,nightTest/nightSequence2--06515.jpg,stop,stopLeft,stop,1,0,1,0,,,
1,232,stop,dayTest/daySequence1--00689.jpg,stop,stop,stop,1,1,1,1,,,
2,233,go,nightTest/nightSequence1--04792.jpg,go,go,go,1,1,1,1,,,
4,234,stop,nightTest/nightSequence2--05145.jpg,stop,stop,stop,1,1,1,1,,,
4,235,go,nightTest/nightSequence2--02803.jpg,go,go,go,1,1,1,1,,,
2,236,stop,nightTest/nightSequence1--02744.jpg,stop,stop,stop,1,1,1,1,,,
4,237,go,nightTest/nightSequence2--05350.jpg,go,go,go,1,1,1,1,,,
4,238,stopLeft,nightTest/nightSequence2--00852.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,239,stop,dayTest/daySequence2--00278.jpg,stop,stop,stop,1,1,1,1,,,
4,240,go,nightTest/nightSequence2--04634.jpg,go,go,go,1,1,1,1,,,
4,241,stop,nightTest/nightSequence2--06530.jpg,stopLeft,stop,stop,1,0,1,1,,,
4,242,stopLeft,nightTest/nightSequence2--06430.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,243,stop,dayTest/daySequence2--06345.jpg,stop,stop,stop,1,1,1,1,,,
4,244,go,nightTest/nightSequence2--04645.jpg,go,go,go,1,1,1,1,,,
2,245,go,nightTest/nightSequence1--04572.jpg,go,go,go,1,1,1,1,,,
4,246,stopLeft,nightTest/nightSequence2--01183.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,247,go,dayTest/daySequence1--02578.jpg,go,go,go,1,1,1,1,,,
4,248,stop,nightTest/nightSequence2--01683.jpg,stop,stop,stop,1,1,1,1,,,
4,249,stopLeft,nightTest/nightSequence2--01268.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
3,250,stop,dayTest/daySequence2--05457.jpg,stop,stop,stop,1,1,1,1,,,
3,251,go,dayTest/daySequence2--05029.jpg,go,go,go,1,1,1,1,,,
4,252,go,nightTest/nightSequence2--02129.jpg,go,go,go,1,1,1,1,,,
1,253,go,dayTest/daySequence1--01851.jpg,go,go,go,1,1,1,1,,,
4,254,stopLeft,nightTest/nightSequence2--04838.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,255,stop,dayTest/daySequence1--00882.jpg,stop,stop,stop,1,1,1,1,,,
4,256,go,nightTest/nightSequence2--01262.jpg,go,go,go,1,1,1,1,,,
1,257,stop,dayTest/daySequence1--01961.jpg,stop,stop,stop,1,1,1,1,,,
4,258,stop,nightTest/nightSequence2--01674.jpg,stop,stop,stop,1,1,1,1,,,
4,259,go,nightTest/nightSequence2--02413.jpg,go,go,go,1,1,1,1,,,
4,260,stop,nightTest/nightSequence2--06484.jpg,stopLeft,stopLeft,stop,1,0,0,1,,,
1,261,go,dayTest/daySequence1--01345.jpg,go,go,go,1,1,1,1,,,
4,262,go,nightTest/nightSequence2--04531.jpg,go,go,go,1,1,1,1,,,
3,263,go,dayTest/daySequence2--04770.jpg,go,go,go,1,1,1,1,,,
4,264,stop,nightTest/nightSequence2--01591.jpg,stop,stop,stop,1,1,1,1,,,
4,265,stopLeft,nightTest/nightSequence2--06460.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,266,stop,nightTest/nightSequence2--00016.jpg,stop,stop,stop,1,1,1,1,,,
4,267,go,nightTest/nightSequence2--02874.jpg,go,go,go,1,1,1,1,,,
2,268,stop,nightTest/nightSequence1--03065.jpg,stop,stop,stop,1,1,1,1,,,
2,269,go,nightTest/nightSequence1--04305.jpg,go,go,go,1,1,1,1,,,
4,270,stopLeft,nightTest/nightSequence2--01194.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
2,271,go,nightTest/nightSequence1--02283.jpg,go,go,go,1,1,1,1,,,
2,272,go,nightTest/nightSequence1--04695.jpg,go,go,go,1,1,1,1,,,
2,273,go,nightTest/nightSequence1--02301.jpg,go,go,go,1,1,1,1,,,
3,274,stop,dayTest/daySequence2--00933.jpg,stop,stop,stop,1,1,1,1,,,
4,275,go,nightTest/nightSequence2--04202.jpg,go,go,go,1,1,1,1,,,
4,276,stopLeft,nightTest/nightSequence2--04639.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,277,go,dayTest/daySequence1--02923.jpg,go,go,go,1,1,1,1,,,
2,278,stop,nightTest/nightSequence1--01313.jpg,stop,stop,stop,1,1,1,1,,,
4,279,go,nightTest/nightSequence2--05330.jpg,go,go,go,1,1,1,1,,,
2,280,stop,nightTest/nightSequence1--03022.jpg,stop,stop,stop,1,1,1,1,,,
4,281,stop,nightTest/nightSequence2--00013.jpg,stop,stop,stop,1,1,1,1,,,
4,282,stopLeft,nightTest/nightSequence2--04631.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
4,283,stop,nightTest/nightSequence2--03631.jpg,stop,stop,stop,1,1,1,1,,,
3,284,stopLeft,dayTest/daySequence2--06053.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,285,go,dayTest/daySequence1--03932.jpg,go,go,go,1,1,1,1,,,
4,286,go,nightTest/nightSequence2--02447.jpg,go,go,go,1,1,1,1,,,
2,287,go,nightTest/nightSequence1--01684.jpg,go,go,go,1,1,1,1,,,
3,288,stop,dayTest/daySequence2--00828.jpg,stop,stop,stop,1,1,1,1,,,
1,289,go,dayTest/daySequence1--02384.jpg,go,go,go,1,1,1,1,,,
2,290,stop,nightTest/nightSequence1--02766.jpg,stop,stop,stop,1,1,1,1,,,
4,291,go,nightTest/nightSequence2--05507.jpg,go,go,go,1,1,1,1,,,
4,292,go,nightTest/nightSequence2--05480.jpg,go,go,go,1,1,1,1,,,
4,293,stop,nightTest/nightSequence2--04137.jpg,stop,stop,stop,1,1,1,1,,,
2,294,go,nightTest/nightSequence1--02214.jpg,go,go,go,1,1,1,1,,,
4,295,stop,nightTest/nightSequence2--00758.jpg,stop,stop,stop,1,1,1,1,,,
4,296,go,nightTest/nightSequence2--01330.jpg,go,go,go,1,1,1,1,,,
3,297,stopLeft,dayTest/daySequence2--06169.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
1,298,stop,dayTest/daySequence1--00650.jpg,stop,stop,stop,1,1,1,1,,,
4,299,stop,nightTest/nightSequence2--00313.jpg,stop,stop,stop,1,1,1,1,,,
2,300,go,nightTest/nightSequence1--02341.jpg,go,go,go,1,1,1,1,,,
1,301,go,dayTest/daySequence1--03903.jpg,go,go,go,1,1,1,1,,,
4,302,stop,nightTest/nightSequence2--00232.jpg,stop,stop,stop,1,1,1,1,,,
4,303,go,nightTest/nightSequence2--04485.jpg,go,go,go,1,1,1,1,,,
3,304,stop,dayTest/daySequence2--05674.jpg,stop,stop,stop,1,1,1,1,,,
4,305,go,nightTest/nightSequence2--03212.jpg,go,go,go,1,1,1,1,,,
2,306,stop,nightTest/nightSequence1--00040.jpg,stop,stop,stop,1,1,1,1,,,
2,307,stopLeft,nightTest/nightSequence1--03649.jpg,stopLeft,stopLeft,stopLeft,1,1,1,1,,,
